,C.Sales,Location,Rep.Sales,Received Inventory,Inventory Stock,L.Sales,M.Sales,Actual
176,4,Port Harcourt,4.6,1000,240.0,1.15,2.3232,12.672
177,5,Port Harcourt,5.0,1000,480.0,1.25,2.475,13.5
178,4,Port Harcourt,4.2,5000,840.0,1.05,2.09,11.4
179,6,Port Harcourt,6.0,2000,600.0,1.5,3.0184,16.464
180,5,Abeokuta,4.2,4000,1000.0,1.05,3.168,11.52
181,4,Abeokuta,4.2,1000,400.0,1.05,3.168,11.52
182,8,Abeokuta,7.8,4000,1100.0,1.95,5.808,21.12
183,9,Abeokuta,9.2,5000,800.0,2.3,6.897,25.08
184,2,Abeokuta,2.0,4000,500.0,0.5,1.485,5.4
185,5,Abeokuta,4.8,1000,200.0,1.2,3.663,13.32
186,4,Abeokuta,4.6,3000,200.0,1.15,3.4848,12.672
187,5,Abeokuta,5.0,4000,400.0,1.25,3.7125,13.5
188,4,Abeokuta,4.2,2000,700.0,1.05,3.135,11.4
189,6,Abeokuta,6.0,2000,500.0,1.5,4.5276,16.464
190,1,Port Harcourt,4.2,4000,1400.0,1.68,3.5904,11.52
191,3,Port Harcourt,4.2,1000,560.0,1.68,3.5904,11.52
192,4,Port Harcourt,7.8,4000,1540.0,3.12,6.5824,21.12
193,7,Port Harcourt,9.2,5000,1120.0,3.68,7.8166,25.08
194,2,Port Harcourt,2.0,4000,700.0,0.8,1.683,5.4
195,3,Port Harcourt,4.8,1000,280.0,1.92,4.1514,13.32
196,2,Port Harcourt,4.6,3000,280.0,1.84,3.94944,12.672
197,2,Port Harcourt,5.0,4000,560.0,2.0,4.2075,13.5
198,3,Port Harcourt,4.2,2000,980.0,1.68,3.553,11.4
199,3,Port Harcourt,6.0,2000,700.0,2.4,5.13128,16.464
200,1,Kano,4.2,3000,500.0,1.68,3.8016,11.52
201,3,Kano,4.2,2000,200.0,1.68,3.8016,11.52
202,4,Kano,7.8,5000,550.0,3.12,6.9696,21.12
203,7,Kano,9.2,3000,400.0,3.68,8.2764,25.08
204,2,Kano,2.0,4000,250.0,0.8,1.782,5.4
205,3,Kano,4.8,1000,100.0,1.92,4.3956,13.32
206,2,Kano,4.6,1000,100.0,1.84,4.18176,12.672
207,2,Kano,5.0,1000,200.0,2.0,4.455,13.5
208,3,Kano,4.2,5000,350.0,1.68,3.762,11.4
209,3,Kano,6.0,2000,250.0,2.4,5.43312,16.464
210,2,Ibadan,4.62,3000,500.0,2.52,3.5904,11.52
211,1,Ibadan,4.62,2000,200.0,2.52,3.5904,11.52
212,3,Ibadan,8.58,5000,550.0,4.68,6.5824,21.12
213,3,Ibadan,10.12,3000,400.0,5.52,7.8166,25.08
214,1,Ibadan,2.2,4000,250.0,1.2,1.683,5.4
215,2,Ibadan,5.28,1000,100.0,2.88,4.1514,13.32
216,1,Ibadan,5.06,1000,100.0,2.76,3.94944,12.672
217,2,Ibadan,5.5,1000,200.0,3.0,4.2075,13.5
218,1,Ibadan,4.62,5000,350.0,2.52,3.553,11.4
219,2,Ibadan,6.6,2000,250.0,3.6,5.13128,16.464
220,2,Warri,4.62,4000,1400.0,2.52,2.5344,11.52
221,1,Warri,4.62,1000,560.0,2.52,2.5344,11.52
222,3,Warri,8.58,4000,1540.0,4.68,4.6464,21.12
223,3,Warri,10.12,5000,1120.0,5.52,5.5176,25.08
224,1,Warri,2.2,4000,700.0,1.2,1.188,5.4
225,2,Warri,5.28,1000,280.0,2.88,2.9304,13.32
226,1,Warri,5.06,3000,280.0,2.76,2.78784,12.672
227,2,Warri,5.5,4000,560.0,3.0,2.97,13.5
228,1,Warri,4.62,2000,980.0,2.52,2.508,11.4
229,2,Warri,6.6,2000,700.0,3.6,3.62208,16.464
230,2,Abeokuta,3.15,6000,600.0,6.3,4.224,11.52
231,0,Abeokuta,3.15,3000,240.0,6.3,4.224,11.52
232,3,Abeokuta,5.85,8000,660.0,11.7,7.744,21.12
233,3,Abeokuta,6.9,5000,480.0,13.8,9.196,25.08
234,0,Ibadan,1.5,5000,300.0,3.0,1.98,5.4
235,2,Ibadan,3.6,4000,120.0,7.2,4.884,13.32
236,1,Ibadan,3.45,1000,120.0,6.9,4.6464,12.672
237,2,Ibadan,3.75,3000,240.0,7.5,4.95,13.5
238,1,Ibadan,3.15,7000,420.0,6.3,4.18,11.4
239,3,Ibadan,4.5,2000,300.0,9.0,6.0368,16.464
240,6,Lagos,3.15,3000,1000.0,1.26,4.224,11.52
241,5,Lagos,3.15,2000,400.0,1.26,4.224,11.52
242,8,Lagos,5.85,5000,1100.0,2.34,7.744,21.12
243,10,Lagos,6.9,3000,800.0,2.76,9.196,25.08
244,3,Lagos,1.5,4000,500.0,0.6,1.98,5.4
245,5,Lagos,3.6,1000,200.0,1.44,4.884,13.32
246,4,Lagos,3.45,1000,200.0,1.38,4.6464,12.672
247,5,Lagos,3.75,1000,400.0,1.5,4.95,13.5
248,3,Lagos,3.15,5000,700.0,1.26,4.18,11.4
249,5,Lagos,4.5,2000,500.0,1.8,6.0368,16.464
250,6,Kano,3.15,4000,1000.0,1.26,2.112,11.52
251,5,Kano,3.15,1000,400.0,1.26,2.112,11.52
252,8,Kano,5.85,4000,1100.0,2.34,3.872,21.12
253,10,Kano,6.9,5000,800.0,2.76,4.598,25.08
254,3,Kano,1.5,4000,500.0,0.6,0.99,5.4
255,5,Kano,3.6,1000,200.0,1.44,2.442,13.32
256,4,Kano,3.45,3000,200.0,1.38,2.3232,12.672
257,5,Kano,3.75,4000,400.0,1.5,2.475,13.5
258,3,Kano,3.15,2000,700.0,1.26,2.09,11.4
259,5,Kano,4.5,2000,500.0,1.8,3.0184,16.464
260,1,Lagos,4.2,6000,600.0,0.84,3.168,11.52
261,2,Lagos,4.2,3000,240.0,0.84,3.168,11.52
262,2,Lagos,7.8,8000,660.0,1.56,5.808,21.12
263,2,Lagos,9.2,5000,480.0,1.84,6.897,25.08
264,1,Lagos,2.0,5000,300.0,0.4,1.485,5.4
265,1,Lagos,4.8,4000,120.0,0.96,3.663,13.32
266,2,Lagos,4.6,1000,120.0,0.92,3.4848,12.672
267,1,Lagos,5.0,3000,240.0,1.0,3.7125,13.5
268,0,Lagos,4.2,7000,420.0,0.84,3.135,11.4
269,3,Lagos,6.0,2000,300.0,1.2,4.5276,16.464
270,0,Lagos,4.83,4000,1200.0,2.94,3.8016,11.52
271,3,Lagos,4.83,1000,480.0,2.94,3.8016,11.52
272,2,Lagos,8.97,4000,1320.0,5.46,6.9696,21.12
273,2,Lagos,10.58,5000,960.0,6.44,8.2764,25.08
274,0,Lagos,2.3,4000,600.0,1.4,1.782,5.4
275,0,Lagos,5.52,1000,240.0,3.36,4.3956,13.32
276,2,Lagos,5.29,3000,240.0,3.22,4.18176,12.672
277,3,Lagos,5.75,4000,480.0,3.5,4.455,13.5
278,3,Lagos,4.83,2000,840.0,2.94,3.762,11.4
279,2,Lagos,6.9,2000,600.0,4.2,5.43312,16.464
280,0,Abuja,4.83,3000,1200.0,2.94,3.168,11.52
281,3,Abuja,4.83,2000,480.0,2.94,3.168,11.52
282,2,Abuja,8.97,5000,1320.0,5.46,5.808,21.12
283,2,Abuja,10.58,3000,960.0,6.44,6.897,25.08
284,0,Abuja,2.3,4000,600.0,1.4,1.485,5.4
285,0,Abuja,5.52,1000,240.0,3.36,3.663,13.32
286,2,Abuja,5.29,1000,240.0,3.22,3.4848,12.672
287,3,Abuja,5.75,1000,480.0,3.5,3.7125,13.5
288,3,Abuja,4.83,5000,840.0,2.94,3.135,11.4
289,2,Calabar,6.9,2000,600.0,4.2,4.5276,16.464
290,3,Abuja,9.2,5000,2800.0,3.68,8.2764,25.08
291,1,Abuja,2.0,5000,1750.0,0.8,1.782,5.4
292,1,Abuja,4.8,4000,700.0,1.92,4.3956,13.32
293,2,Abuja,4.6,1000,700.0,1.84,4.18176,12.672
294,3,Abuja,5.0,3000,1400.0,2.0,4.455,13.5
295,0,Abuja,4.2,7000,2450.0,1.68,3.762,11.4
296,1,Abuja,6.0,2000,1750.0,2.4,5.43312,16.464
297,1,Warri,4.2,6000,3500.0,1.68,3.8016,11.52
298,0,Warri,4.2,3000,1400.0,1.68,3.8016,11.52
299,2,Warri,7.8,8000,3850.0,3.12,6.9696,21.12
300,2,Lagos,4.62,5000,600.0,1.89,3.5904,13.824
301,0,Lagos,4.62,2000,240.0,1.89,3.5904,13.824
302,3,Lagos,8.58,6000,660.0,3.51,6.5824,25.344
303,3,Lagos,10.12,2000,480.0,4.14,7.8166,30.096
304,0,Lagos,2.2,4000,300.0,0.9,1.683,6.48
305,2,Lagos,5.28,2000,120.0,2.16,4.1514,15.984
306,3,Lagos,5.06,2000,120.0,2.07,3.94944,15.2064
307,1,Lagos,5.5,1000,240.0,2.25,4.2075,16.2
308,2,Lagos,4.62,3000,420.0,1.89,3.553,13.68
309,3,Lagos,6.6,2000,300.0,2.7,5.13128,19.7568
310,1,Lagos,4.83,6000,193.9990624,0.84,2.112,13.824
311,3,Lagos,4.83,3000,218.9873418,0.84,2.112,13.824
312,4,Lagos,8.97,8000,206.4932021,1.56,3.872,25.344
313,4,Lagos,10.58,5000,193.9990624,1.84,4.598,30.096
314,0,Lagos,2.3,5000,181.5049226,0.4,0.99,6.48
315,3,Lagos,5.52,4000,169.0107829,0.96,2.442,15.984
316,2,Lagos,5.29,1000,156.5166432,0.92,2.3232,15.2064
317,1,Lagos,5.75,3000,144.0225035,1.0,2.475,16.2
318,4,Lagos,4.83,7000,131.5283638,0.84,2.09,13.68
319,2,Lagos,6.9,2000,119.0342241,1.2,3.0184,19.7568
320,1,Kano,4.83,5000,1200.0,0.84,3.168,13.824
321,3,Kano,4.83,2000,480.0,0.84,3.168,13.824
322,4,Kano,8.97,6000,1320.0,1.56,5.808,25.344
323,4,Kano,10.58,2000,960.0,1.84,6.897,30.096
324,0,Kano,2.3,4000,600.0,0.4,1.485,6.48
325,3,Kano,5.52,2000,240.0,0.96,3.663,15.984
326,2,Kano,5.29,2000,240.0,0.92,3.4848,15.2064
327,1,Kano,5.75,1000,480.0,1.0,3.7125,16.2
328,4,Kano,4.83,3000,840.0,0.84,3.135,13.68
329,2,Kano,6.9,2000,600.0,1.2,4.5276,19.7568
330,5,Kano,4.2,4000,1400.0,1.05,4.224,13.824
331,4,Kano,4.2,1000,560.0,1.05,4.224,13.824
332,8,Kano,7.8,4000,1540.0,1.95,7.744,25.344
333,9,Kano,9.2,5000,1120.0,2.3,9.196,30.096
334,2,Kano,2.0,4000,700.0,0.5,1.98,6.48
335,5,Kano,4.8,1000,280.0,1.2,4.884,15.984
336,4,Kano,4.6,3000,280.0,1.15,4.6464,15.2064
337,5,Kano,5.0,4000,560.0,1.25,4.95,16.2
338,4,Kano,4.2,2000,980.0,1.05,4.18,13.68
339,6,Kano,6.0,2000,700.0,1.5,6.0368,19.7568
340,1,Lagos,4.2,4000,500.0,1.68,1.6896,13.824
341,3,Lagos,4.2,1000,200.0,1.68,1.6896,13.824
342,4,Lagos,7.8,4000,550.0,3.12,3.0976,25.344
343,7,Lagos,9.2,5000,400.0,3.68,3.6784,30.096
344,2,Lagos,2.0,4000,250.0,0.8,0.792,6.48
345,3,Lagos,4.8,1000,100.0,1.92,1.9536,15.984
346,2,Lagos,4.6,3000,100.0,1.84,1.85856,15.2064
347,2,Lagos,5.0,4000,200.0,2.0,1.98,16.2
348,3,Lagos,4.2,2000,350.0,1.68,1.672,13.68
349,3,Lagos,6.0,2000,250.0,2.4,2.41472,19.7568
350,3,Ilorin,8.58,4000,1100.0,4.68,6.9696,25.344
351,3,Ilorin,10.12,5000,800.0,5.52,8.2764,30.096
352,1,Ilorin,2.2,4000,500.0,1.2,1.782,6.48
353,2,Ilorin,5.28,1000,200.0,2.88,4.3956,15.984
354,1,Ilorin,5.06,3000,200.0,2.76,4.18176,15.2064
355,2,Ilorin,5.5,4000,400.0,3.0,4.455,16.2
356,1,Ilorin,4.62,2000,700.0,2.52,3.762,13.68
357,2,Ilorin,6.6,2000,500.0,3.6,5.43312,19.7568
358,2,Port Harcourt,4.62,4000,1000.0,2.52,3.8016,13.824
359,1,Port Harcourt,4.62,1000,400.0,2.52,3.8016,13.824
360,2,Kaduna,3.15,6000,3500.0,6.3,3.5904,13.824
361,0,Kaduna,3.15,3000,1400.0,6.3,3.5904,13.824
362,3,Kaduna,5.85,8000,3850.0,11.7,6.5824,25.344
363,3,Kaduna,6.9,5000,2800.0,13.8,7.8166,30.096
364,0,Kaduna,1.5,5000,1750.0,3.0,1.683,6.48
365,2,Kaduna,3.6,4000,700.0,7.2,4.1514,15.984
366,1,Kaduna,3.45,1000,700.0,6.9,3.94944,15.2064
367,2,Kaduna,3.75,3000,1400.0,7.5,4.2075,16.2
368,1,Kaduna,3.15,7000,2450.0,6.3,3.553,13.68
369,3,Kaduna,4.5,2000,1750.0,9.0,5.13128,19.7568
370,2,Port Harcourt,3.15,5000,600.0,6.3,2.5344,13.824
371,0,Port Harcourt,3.15,2000,240.0,6.3,2.5344,13.824
372,3,Port Harcourt,5.85,6000,660.0,11.7,4.6464,25.344
373,3,Port Harcourt,6.9,2000,480.0,13.8,5.5176,30.096
374,0,Port Harcourt,1.5,4000,300.0,3.0,1.188,6.48
375,2,Port Harcourt,3.6,2000,120.0,7.2,2.9304,15.984
376,1,Port Harcourt,3.45,2000,120.0,6.9,2.78784,15.2064
377,2,Port Harcourt,3.75,1000,240.0,7.5,2.97,16.2
378,1,Port Harcourt,3.15,3000,420.0,6.3,2.508,13.68
379,3,Port Harcourt,4.5,2000,300.0,9.0,3.62208,19.7568
380,1,Calabar,4.2,5000,600.0,0.84,4.224,13.824
381,2,Calabar,4.2,2000,240.0,0.84,4.224,13.824
382,2,Calabar,7.8,6000,660.0,1.56,7.744,25.344
383,2,Calabar,9.2,2000,480.0,1.84,9.196,30.096
384,1,Calabar,2.0,4000,300.0,0.4,1.98,6.48
385,1,Calabar,4.8,2000,120.0,0.96,4.884,15.984
386,2,Calabar,4.6,2000,120.0,0.92,4.6464,15.2064
387,1,Calabar,5.0,1000,240.0,1.0,4.95,16.2
388,0,Calabar,4.2,3000,420.0,0.84,4.18,13.68
389,3,Calabar,6.0,2000,300.0,1.2,6.0368,19.7568
390,1,Ibadan,4.2,6000,3500.0,0.84,2.5344,13.824
391,2,Ibadan,4.2,3000,1400.0,0.84,2.5344,13.824
392,2,Ibadan,7.8,8000,3850.0,1.56,4.6464,25.344
393,2,Ibadan,9.2,5000,2800.0,1.84,5.5176,30.096
394,1,Ibadan,2.0,5000,1750.0,0.4,1.188,6.48
395,1,Ibadan,4.8,4000,700.0,0.96,2.9304,15.984
396,2,Ibadan,4.6,1000,700.0,0.92,2.78784,15.2064
397,1,Ibadan,5.0,3000,1400.0,1.0,2.97,16.2
398,0,Ibadan,4.2,7000,2450.0,0.84,2.508,13.68
399,3,Ibadan,6.0,2000,1750.0,1.2,3.62208,19.7568
400,0,Ibadan,4.83,4000,1400.0,2.94,2.112,13.824
401,3,Ibadan,4.83,1000,560.0,2.94,2.112,13.824
402,2,Ibadan,8.97,4000,1540.0,5.46,3.872,25.344
403,2,Ibadan,10.58,5000,1120.0,6.44,4.598,30.096
404,0,Ibadan,2.3,4000,700.0,1.4,0.99,6.48
405,0,Ibadan,5.52,1000,280.0,3.36,2.442,15.984
406,2,Ibadan,5.29,3000,280.0,3.22,2.3232,15.2064
407,3,Ibadan,5.75,4000,560.0,3.5,2.475,16.2
408,3,Ibadan,4.83,2000,980.0,2.94,2.09,13.68
409,2,Ibadan,6.9,2000,700.0,4.2,3.0184,19.7568
410,1,Ibadan,4.2,5000,1200.0,1.68,1.6896,13.824
411,0,Ibadan,4.2,2000,480.0,1.68,1.6896,13.824
412,2,Ibadan,7.8,6000,1320.0,3.12,3.0976,25.344
413,3,Ibadan,9.2,2000,960.0,3.68,3.6784,30.096
414,1,Ibadan,2.0,4000,600.0,0.8,0.792,6.48
415,1,Ibadan,4.8,2000,240.0,1.92,1.9536,15.984
416,2,Ibadan,4.6,2000,240.0,1.84,1.85856,15.2064
